,index,asm,correlation,variance,idm,entropy,sum_entropy,difference_entropy,sum_avg,contrast,energy,type
14,14,0.0038318257330062977,-22434.176340657614,405.45831967570683,0.13094573966973708,-10.06031521454067,6.968876308631437,5.315461800764488,80.00899001798005,7173360.999999995,0.0038318257330062977,Benign
15,15,0.01787669782026693,-27708.132045815255,312.2494417826581,0.20649900090470757,-8.803912531223906,6.521743648670601,4.878092584853876,79.99953499906998,7173361.000000019,0.01787669782026693,Benign
16,16,0.0013016755473688661,-19278.0703249667,484.9995325965603,0.09545198881752366,-10.634819254440323,7.121914982136443,5.533045149728352,80.00155000310002,7173360.999999963,0.0013016755473688661,Benign
17,17,0.0012667672629233678,-17629.70083283321,543.7576629053066,0.08687673440528094,-10.550754191409716,7.125098093505092,5.640333015912589,80.00558001116008,7173361.00000003,0.0012667672629233678,Benign
18,18,0.0024478609430589188,-20317.128786039102,457.3711374569503,0.11779140159299666,-10.381267644427542,7.04384966360697,5.450245258998781,80.03038006076022,7173360.999999965,0.0024478609430589188,Benign
19,19,0.0019008499721266726,-20264.437091588694,461.9688437095268,0.10916097041648691,-10.437160015937973,7.057061285102543,5.48357725657464,79.96543493086985,7173360.999999965,0.0019008499721266726,Benign
20,20,0.0020203474966788023,-20106.045148098263,460.1876588628248,0.11376761063429447,-10.52760494766286,7.099553042047232,5.4589586083317485,79.98527497054992,7173360.999999941,0.0020203474966788023,Benign
21,21,0.022301944057609255,-28439.17219700401,301.24953382184026,0.22434810340161734,-8.631663681666984,6.448627900337965,4.7903147128575565,79.99767499534997,7173360.999999983,0.022301944057609255,Benign
22,22,0.040949110117478635,-26961.44397670905,315.71365870458203,0.2669279704693115,-8.555911095949583,6.257602145568687,4.805238361838351,80.0283650567301,7173360.99999999,0.040949110117478635,Benign
23,23,0.08881099996645918,-37202.38268933741,214.11508939175107,0.3630772631148174,-6.836938845838334,5.494521235790752,4.092147861930659,80.01007502015005,7173361.000000051,0.08881099996645918,Benign
