,index,asm,correlation,variance,idm,entropy,sum_entropy,difference_entropy,sum_avg,contrast,energy,type
0,0,0.0011284414807770414,-16900.529229777192,559.1924985300773,0.09285399248934141,-10.759107351241358,7.191703650113611,5.6469360017641375,79.96171492342985,7173361.000000023,0.0011284414807770414,Malignant
1,1,0.0012039644754780812,-17793.440885353568,536.5207018909916,0.08670792818089942,-10.609191551448669,7.132799543231075,5.632448223869207,79.99131998263995,7173361.000000032,0.0012039644754780812,Malignant
2,2,0.0031654912092489744,-19721.313630064757,473.10674888167307,0.1258119339107119,-10.2605718287846,7.006722216059401,5.488170166171151,79.88653977307956,7173361.000000024,0.0031654912092489744,Malignant
3,3,0.0012628084075879589,-17514.460832371216,545.7239163731228,0.08849927553385006,-10.564744889471042,7.130009693384448,5.642838334278935,79.93799987599972,7173361.000000077,0.0012628084075879589,Malignant
4,4,0.0010997833400977007,-17425.907369546774,539.4897293694394,0.0906795595396174,-10.787259352564888,7.182871768308226,5.625055964945001,80.01240002480006,7173361.000000013,0.0010997833400977007,Malignant
5,5,0.00557788849773482,-23771.59305115786,378.8859352478454,0.1455765062825647,-9.759451691721535,6.881492078996815,5.214780618047665,80.00031000062002,7173360.999999969,0.00557788849773482,Malignant
6,6,0.00118326337154875,-18762.859914783716,507.38287635915594,0.0861292550086875,-10.606828091381141,7.110260465212478,5.5884939046951985,80.02387004774009,7173361.00000001,0.00118326337154875,Malignant
7,7,0.0061512196521664765,-24071.117823455916,374.79654707743924,0.14771325748522424,-9.67813374666695,6.843754973543144,5.197611457477052,80.01054002108009,7173360.999999897,0.0061512196521664765,Malignant
8,8,0.0012303389857260191,-19119.96523977552,490.31915565195135,0.09465258467350837,-10.65700503613284,7.131010872548219,5.545616748365438,79.98217496434994,7173360.999999991,0.0012303389857260191,Malignant
9,9,0.009025066465932817,-25009.29928496044,356.16997945385316,0.16784386630746226,-9.465284233526134,6.769924311692302,5.106092796394489,79.98418996837995,7173360.999999954,0.009025066465932817,Malignant
10,10,0.018049431609279555,-27389.34653250372,314.09409951097166,0.20982181993915403,-8.875432657190183,6.559528627310721,4.886904355182538,80.00263500527006,7173360.999999978,0.018049431609279555,Malignant
11,11,0.009098832220058004,-25203.261713099226,351.43893036220567,0.16596771421187065,-9.389105745637632,6.748728933738108,5.096126675721674,79.99023498046995,7173360.999999962,0.009098832220058004,Malignant
12,12,0.0023092017826729172,-15196.710874089604,649.6499132188543,0.11032295318201571,-10.110531757581228,7.108980136146779,5.652943989343729,79.9703949407899,7173360.999999937,0.0023092017826729172,Malignant
