,index,asm,correlation,variance,idm,entropy,sum_entropy,difference_entropy,sum_avg,contrast,energy,type
0,0,0.0698565940947329,-24487.648869900862,,0.3400780610905111,-7.095212685558586,5.662867199687041,4.475495567480014,80.09853405457575,7173360.999999896,0.0698565940947329,benign_mlo
1,1,0.026681901772531758,-30215.715226822856,,0.23943649238359935,-7.906790922266646,6.340493845656013,4.6354584651326824,79.99023498046998,7173360.999999981,0.026681901772531758,benign_mlo
2,2,0.0020219667431088735,-14077.815253461958,,0.12676280896112602,-11.108208213011574,7.217266843457248,5.665354074059664,79.96403992807984,7173360.999999983,0.0020219667431088735,benign_mlo
3,3,0.001451531273447402,-14754.699470227975,,0.11175307839383723,-11.165592134432172,7.239249280037044,5.693598551888864,80.01100502201004,7173361.000000011,0.001451531273447402,benign_mlo
4,4,0.0016454520637421877,-14370.756661985339,,0.11771560003164545,-11.09502230879194,7.227056326746456,5.719938227683149,80.02771478961955,7173361.000000022,0.0016454520637421877,benign_mlo
5,5,0.0024566430166247794,-13665.394185012925,,0.13063687689203057,-11.006193398488579,7.196096773207239,5.671205485822267,79.99643499286998,7173360.999999963,0.0024566430166247794,benign_mlo
6,6,0.002141919317996831,-13872.681159679838,,0.12805711971918002,-10.939394842330454,7.20661405047495,5.687095180968982,80.03177506355014,7173361.00000004,0.002141919317996831,benign_mlo
7,7,0.00207299790917086,-14176.918049735246,,0.1260691494868101,-11.202860274853919,7.212630000748108,5.653797525678905,80.04650009300023,7173361.000000056,0.00207299790917086,benign_mlo
8,8,0.00225582009130259,-13813.34486737088,,0.12797201708431258,-11.05817710208891,7.2066628829848645,5.665837869495657,79.9719449438899,7173360.999999981,0.00225582009130259,benign_mlo
9,9,0.002129334086734107,-13948.15028648941,,0.1275913000034177,-10.934301381601601,7.210768999528442,5.684793464091361,79.97287494574992,7173361.000000023,0.002129334086734107,benign_mlo
10,10,0.0019156954048194469,-14095.523210545967,,0.12351536200846569,-10.824363148576968,7.2154821274807155,5.683409856100684,79.93260267069792,7173361.000000061,0.0019156954048194469,benign_mlo
11,11,0.0018380036616608042,-14730.28786682012,,0.12162114272286118,-11.397211943528115,7.214620557175176,5.642899013922922,80.03023431594863,7173360.999999982,0.0018380036616608042,benign_mlo
12,12,0.002618159075776255,-13599.338872169992,,0.13328491938513723,-10.965092343948783,7.193972419878561,5.670678960055199,80.0925925925926,7173360.999999967,0.002618159075776255,benign_mlo
13,13,0.0020885651870464076,-13869.277338934784,,0.12549423179862795,-10.781003531865828,7.20016745086212,5.700757041663181,80.03401360544215,7173360.999999945,0.0020885651870464076,benign_mlo
14,14,0.0020232639716114193,-13948.279634402625,,0.12469066161341837,-10.767793315198059,7.198545588804046,5.700576774135372,79.97354497354499,7173361.000000015,0.0020232639716114193,benign_mlo
15,15,0.0023061346510506436,-13797.025107552789,,0.12936638142418044,-10.680964797066766,7.181108382657587,5.687231907426524,79.83056185437141,7173360.9999999795,0.0023061346510506436,benign_mlo
16,16,0.0021923432958095602,-13668.072535992658,,0.12805333501239247,-10.559816998313865,7.187494683152679,5.680617658501754,79.7392290249433,7173361.000000015,0.0021923432958095602,benign_mlo
17,17,0.0016928042726380161,-14403.063589544174,,0.11512862257598347,-10.71596956594942,7.203721607970658,5.729549152655221,79.76379440665156,7173361.0000000335,0.0016928042726380161,benign_mlo
18,18,0.0018730776729054418,-14653.57720144878,,0.11607416868177346,-10.609916921301524,7.1663282324370865,5.714195546536897,79.88725119677501,7173360.999999998,0.0018730776729054418,benign_mlo
19,19,0.0020796023383317886,-13873.137562484306,,0.12509379178769825,-10.825194187718596,7.203179586616376,5.7061768309412235,80.0390526581003,7173361.000000015,0.0020796023383317886,benign_mlo
20,20,0.002019937959996806,-13850.170088950892,,0.12400218052278668,-10.732722027711324,7.203486564695343,5.700627116675774,79.92189468379942,7173361.000000022,0.002019937959996806,benign_mlo
21,21,0.0016566079525461986,-14541.393654681693,,0.11770680386796871,-11.183762500477942,7.232330113279142,5.662261118836302,80.01385739480976,7173361.00000005,0.0016566079525461986,benign_mlo
22,22,0.0009839038157651813,-16474.597935080834,,0.09374151132152234,-11.063400950150745,7.24188409929217,5.62294466280529,79.99307130259511,7173360.999999945,0.0009839038157651813,benign_mlo
23,23,0.0015438682349146952,-14630.998297577173,,0.11018041954187147,-10.7878647327005,7.204232953089656,5.746261152420307,79.810405643739,7173361.000000032,0.0015438682349146952,benign_mlo
24,24,0.0019320373397822468,-14039.041998023642,,0.12267783847514638,-10.812693236579426,7.211059404738298,5.694856074660325,79.94869489738977,7173360.999999948,0.0019320373397822468,benign_mlo
25,25,0.0018775411194917333,-14401.487428776409,,0.11794309079187171,-10.611204572565864,7.184964428717653,5.710047489568924,79.91622574955908,7173360.999999982,0.0018775411194917333,benign_mlo
26,26,0.002553886109674835,-13519.014475166774,,0.13252216754870988,-10.564878046029806,7.179412809386407,5.658351707304696,79.98744497488995,7173360.999999987,0.002553886109674835,benign_mlo
27,27,0.0020352366711407044,-13886.525838300142,,0.12453282517764559,-10.737917239883169,7.20458028859973,5.7012392417925595,80.05102040816323,7173361.000000055,0.0020352366711407044,benign_mlo
28,28,0.0023695951907072637,-13706.22581838536,,0.12995573699079382,-10.902695827464626,7.194197216756801,5.696166793087407,79.97228521038048,7173361.000000053,0.0023695951907072637,benign_mlo
29,29,0.001749577577431323,-14311.43888654698,,0.12036444308337821,-11.150413635510029,7.223821050550349,5.712869123419716,80.03842277651802,7173361.000000042,0.001749577577431323,benign_mlo
