,index,asm,correlation,variance,idm,entropy,sum_entropy,difference_entropy,sum_avg,contrast,energy,type
15,15,0.0011447951835042776,-18100.502048012946,525.7397745414252,0.08835627810694392,-10.654003836153526,7.13513311112898,5.613787044960854,79.92869985739972,7173360.999999984,0.0011447951835042776,Normal
16,16,0.031406690415448336,-27515.73439461753,314.585946583078,0.24972490307931583,-8.69537857701492,6.3597507580187145,4.827695611842164,79.95892491784987,7173361.000000013,0.031406690415448336,Normal
17,17,0.001139961844702195,-18104.67565512092,525.3006356567614,0.09020460193107427,-10.695378929525367,7.143341056614911,5.607245011580538,79.96760493520988,7173360.999999969,0.001139961844702195,Normal
18,18,0.0011351358035230413,-18035.027517076676,526.598028594408,0.08945677370992981,-10.71210349023339,7.14900248711407,5.612692990031508,80.01069502139005,7173361.000000006,0.0011351358035230413,Normal
19,19,0.0012353162048223808,-18448.13492264194,512.1414723857408,0.09451709241588743,-10.657133097067353,7.134373204670322,5.590597291069208,79.97597495194991,7173361.000000001,0.0012353162048223808,Normal
20,20,0.0011666242356641523,-18402.130900504217,511.9352534634761,0.0936946639310085,-10.720751808602913,7.1507916758399235,5.577299221811282,79.99875999752003,7173360.999999965,0.0011666242356641523,Normal
21,21,0.001735221019674021,-19352.142278306215,477.20821697610916,0.11050660778768923,-10.6027152771849,7.126211863370171,5.491272922687895,80.02666005332011,7173360.9999999665,0.001735221019674021,Normal
22,22,0.0011062769481814969,-17421.64210223756,547.9617147869673,0.08448362458952295,-10.719143580488925,7.163245407947334,5.648017561597039,80.01147002294002,7173361.00000006,0.0011062769481814969,Normal
23,23,0.010077805589650768,-24052.072568985768,368.9671476838148,0.17188292457445176,-9.600595987674788,6.791431193557952,5.151742355915519,79.96217992435987,7173361.000000027,0.010077805589650768,Normal
24,24,0.0011350611004898629,-17606.230366680506,532.640108383013,0.09278500005106713,-10.76324033184922,7.177651381744388,5.61223374479434,80.01627503255004,7173361.000000085,0.0011350611004898629,Normal
25,25,0.004636561868119545,-21460.43604159549,423.5418982453688,0.13764244783747112,-10.133297898614567,6.973313518464943,5.352813505935327,80.01178002356008,7173361.00000001,0.004636561868119545,Normal
26,26,0.0011255905577639879,-18175.67329327402,523.2373156689399,0.08548315239915551,-10.65032830021537,7.1372215743345455,5.612181192672434,79.93768987537972,7173360.999999992,0.0011255905577639879,Normal
27,27,0.0010760470556839077,-17641.75619072936,541.0085116744727,0.0845052052594875,-10.719131971591565,7.161875905101354,5.639106752001538,79.99240498481001,7173360.99999999,0.0010760470556839077,Normal
28,28,0.0013244826762066639,-18833.718722137506,496.706612034341,0.098287496857377,-10.677385931577708,7.136353963144503,5.544031167218485,79.95861491722985,7173360.999999987,0.0013244826762066639,Normal
29,29,0.0011214596977561768,-17426.549587517904,547.5370821880585,0.0860654851482281,-10.693563273931124,7.16055764336355,5.649220004092143,79.97597495194992,7173361.000000047,0.0011214596977561768,Normal
30,30,0.0016166787029114995,-19341.475059864286,485.16181561472183,0.10411337936668173,-10.566706075009357,7.096182808707593,5.531861369360662,80.0,7173361.000000002,0.0016166787029114995,Normal
31,31,0.0011727727532738147,-18338.931342672644,519.6766781849643,0.09009899533805255,-10.649808916058738,7.130589091175888,5.60761188193203,79.97566495132989,7173361.0000000615,0.0011727727532738147,Normal
32,32,0.0012339634117237105,-17381.758931367356,552.0133939641678,0.08620042293556653,-10.580193514242108,7.140618127984914,5.6539984469763045,80.01906503813014,7173361.000000011,0.0012339634117237105,Normal
